Timepoint   	P4          	SD          	E2          	SD          	LH_blood    	SD          	FSH_blood   	SD          
-1.100000e+01	3.999996e-01	1.000000e+00	3.078007e+01	1.000000e+00	6.800000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.530000e+00	1.000000e+00
-1.100000e+01	8.499998e-01	1.000000e+00	3.895177e+01	1.000000e+00	6.380000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.850000e+00	1.000000e+00
-1.100000e+01	6.700003e-01	1.000000e+00	3.323158e+01	1.000000e+00	3.850000e+00	1.000000e+00	6.320000e+00	1.000000e+00
-1.100000e+01	5.799990e-01	1.000000e+00	6.346687e+01	1.000000e+00	6.200000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	6.130000e+00	1.000000e+00
-1.100000e+01	9.100007e-01	1.000000e+00	4.412718e+01	1.000000e+00	7.690000e+00	1.000000e+00	9.810000e+00	1.000000e+00
-1.100000e+01	5.699989e-01	1.000000e+00	5.638473e+01	1.000000e+00	8.320000e+00	1.000000e+00	n/a         	n/a         
-1.100000e+01	n/a         	n/a         	n/a         	n/a         	n/a         	n/a         	8.930000e+00	1.000000e+00
-1.100000e+01	6.099995e-01	1.000000e+00	3.078007e+01	1.000000e+00	3.730000e+00	1.000000e+00	7.500000e+00	1.000000e+00
